k,rg,layer,Best/Test/bpd,train_time,seed
16.0,RQT,cp-shared-new,1.3713470697402954,373.88958740234375,42.0
16.0,RQT,cp-shared-new,1.3766556978225708,351.125244140625,13.0
16.0,RQT,cp-shared-new,1.3716310262680054,342.2903747558594,17.0
16.0,RQT,cp-shared-new,1.373479962348938,264.5469970703125,7331.0
16.0,RQT,cp-shared-new,1.3766247034072876,307.882080078125,1337.0
256.0,RQT,cp-shared-new,1.2657015323638916,736.94140625,42.0
256.0,RQT,cp-shared-new,1.2667673826217651,734.5490112304688,13.0
256.0,RQT,cp-shared-new,1.2642443180084229,649.16845703125,1337.0
256.0,RQT,cp-shared-new,1.265064358711243,777.3764038085938,17.0
256.0,RQT,cp-shared-new,1.2661807537078855,647.8515014648438,7331.0
32.0,RQT,cp-shared-new,1.337803840637207,319.1109924316406,42.0
32.0,RQT,cp-shared-new,1.3404635190963743,284.6253662109375,13.0
32.0,RQT,cp-shared-new,1.3340415954589844,323.6274719238281,1337.0
32.0,RQT,cp-shared-new,1.3347073793411257,329.4284973144531,17.0
32.0,RQT,cp-shared-new,1.3337024450302124,341.4871826171875,7331.0
512.0,RQT,cp-shared-new,1.2498998641967771,1689.5439453125,42.0
512.0,RQT,cp-shared-new,1.2518248558044434,1581.6107177734375,13.0
512.0,RQT,cp-shared-new,1.251510739326477,1805.737060546875,17.0
512.0,RQT,cp-shared-new,1.2508652210235596,2026.5238037109373,1337.0
512.0,RQT,cp-shared-new,1.2508056163787842,1689.2554931640625,7331.0
64.0,RQT,cp-shared-new,1.3075575828552246,303.6272277832031,42.0
64.0,RQT,cp-shared-new,1.3076428174972534,287.2413635253906,17.0
64.0,RQT,cp-shared-new,1.3083157539367676,278.4085998535156,1337.0
64.0,RQT,cp-shared-new,1.3059602975845337,307.6261901855469,13.0
64.0,RQT,cp-shared-new,1.3090556859970093,302.1860046386719,7331.0
